Raza;Actividad;Apetito;Sueño;Vocalización;Enfermedad
Pastor Alemán;1;2;9;5;Enfermedades del disco
Bullmastiff;3;4;5;2;Enfermedades del disco
Pastor Alemán;1;2;8;10;Enfermedades cardíacas
Gato Bosque de Noruega;10;11;3;5;Enfermedades respiratorias
Dachshund;8;9;6;3;Torsión gástrica
Chihuahua;3;4;2;9;Problemas oculares
Bulldog;3;4;8;4;Torsión gástrica
Beagle;6;7;3;10;Enfermedades del disco
Pug;9;10;8;8;Normal
Cocker Spaniel;5;6;1;6;Enfermedades cardíacas
Gato Sphynx;9;10;3;2;Estrés crónico
Beagle;8;9;8;9;Problemas oculares
Bulldog;6;7;10;6;Displasia de cadera
Bulldog;6;7;8;8;Displasia de cadera
Cocker Spaniel;7;8;8;5;Normal
Boxer;6;7;9;1;Enfermedades del disco
Golden Retriever;4;5;6;5;Problemas respiratorios
Shih Tzu;5;6;8;5;Displasia de cadera
Bullmastiff;2;3;10;5;Problemas respiratorios
Gato Sphynx;2;3;5;5;Problemas dentales
Gato Persa;3;4;2;6;Obesidad
Gato Scottish Fold;7;8;9;3;Problemas dentales
Dogo Argentino;1;2;4;4;Enfermedades cardíacas
Pug;7;8;4;9;Infección gastrointestinal
Doberman Pinscher;7;8;6;1;Normal
Bullmastiff;3;4;7;6;Ansiedad por separación
Dachshund;7;8;2;9;Normal
Golden Retriever;5;6;6;10;Enfermedades del disco
Chihuahua;7;8;2;8;Enfermedades del disco
Golden Retriever;3;4;8;3;Displasia de cadera
Cocker Spaniel;4;5;10;8;Ansiedad por separación
Doberman Pinscher;9;10;9;7;Ansiedad por separación
Gato Scottish Fold;8;9;4;7;Enfermedades respiratorias
Pug;7;8;6;8;Ansiedad por separación
Doberman Pinscher;7;8;1;9;Normal
Chihuahua;10;11;7;5;Enfermedades del disco
Gato Azul Ruso;8;9;3;10;Hipertiroidismo
Boxer;3;4;10;10;Displasia de cadera
Chihuahua;1;2;4;1;Normal
Chihuahua;3;4;8;8;Normal
Rottweiler;2;3;10;3;Obesidad
Labrador Retriever;4;5;3;7;Problemas respiratorios
Chihuahua;7;8;2;7;Torsión gástrica
Labrador Retriever;1;2;8;1;Torsión gástrica
Gato Birmano;8;9;5;9;Hipertiroidismo
Gato Maine Coon;3;4;7;7;Problemas dentales
Gato Scottish Fold;7;8;8;5;Estrés crónico
Dachshund;3;4;3;1;Enfermedades del disco
Labrador Retriever;2;3;3;4;Torsión gástrica
Gato Siamés;1;2;8;1;Enfermedades respiratorias
Golden Retriever;8;9;1;3;Enfermedades cardíacas
Bullmastiff;2;3;7;4;Problemas respiratorios
Gato Bengalí;5;6;8;5;Enfermedades respiratorias
Bullmastiff;4;5;4;9;Enfermedades cardíacas
Bulldog;4;5;2;8;Problemas respiratorios
Shih Tzu;4;5;9;3;Displasia de cadera
Bulldog;8;9;2;2;Ansiedad por separación
Dachshund;4;5;4;7;Problemas respiratorios
Doberman Pinscher;8;9;4;8;Normal
Gato Persa;9;10;7;7;Hipertiroidismo
Boxer;7;8;4;8;Normal
Gato Scottish Fold;1;2;4;6;Problemas renales
Rottweiler;5;6;8;8;Displasia de cadera
Gato Bosque de Noruega;7;8;4;6;Estrés crónico
Gato Siamés;3;4;8;6;Enfermedades respiratorias
Gato Maine Coon;8;9;2;10;Hipertiroidismo
Shih Tzu;3;4;10;6;Obesidad
Gato Birmano;4;5;3;2;Problemas renales
Golden Retriever;6;7;7;6;Displasia de cadera
Chihuahua;2;3;9;4;Obesidad
Dogo Argentino;8;9;4;3;Normal
Chihuahua;8;9;1;10;Infección gastrointestinal
Labrador Retriever;4;5;3;1;Infección gastrointestinal
Gato Bengalí;3;4;5;8;Normal
Shih Tzu;6;7;9;9;Problemas oculares
Labrador Retriever;3;4;6;2;Normal
Gato Siamés;4;5;9;8;Infecciones del tracto urinario
Bullmastiff;7;8;8;2;Problemas oculares
Labrador Retriever;5;6;2;3;Ansiedad por separación
Gato Siamés;9;10;1;4;Normal
Gato Sphynx;8;9;1;9;Hipertiroidismo
Gato Ragdoll;5;6;3;8;Obesidad
Gato Birmano;10;11;7;2;Problemas renales
Bullmastiff;6;7;6;9;Normal
Gato Ragdoll;10;11;10;3;Infecciones del tracto urinario
Labrador Retriever;4;5;6;2;Displasia de cadera
Gato Maine Coon;10;11;6;5;Problemas dentales
Bullmastiff;9;10;7;7;Problemas oculares
Bullmastiff;4;5;1;4;Ansiedad por separación
Doberman Pinscher;4;5;6;10;Displasia de cadera
Dogo Argentino;9;10;3;2;Ansiedad por separación
Gato Birmano;5;6;7;8;Obesidad
Beagle;10;11;5;3;Problemas oculares
Gato Siamés;4;5;5;4;Problemas dentales
Labrador Retriever;3;4;7;2;Displasia de cadera
Pug;1;2;2;6;Enfermedades cardíacas
Golden Retriever;4;5;1;4;Obesidad
Rottweiler;3;4;5;5;Infección gastrointestinal
Labrador Retriever;7;8;3;10;Enfermedades cardíacas
Bullmastiff;6;7;3;6;Enfermedades cardíacas
Gato Azul Ruso;6;7;7;2;Estrés crónico
Pastor Alemán;3;4;3;8;Obesidad
Cocker Spaniel;4;5;3;9;Obesidad
Gato Birmano;2;3;5;6;Problemas renales
Boxer;3;4;4;7;Obesidad
Shih Tzu;10;11;8;4;Enfermedades del disco
Boxer;6;7;3;8;Torsión gástrica
Gato Maine Coon;9;10;5;2;Normal
Doberman Pinscher;3;4;8;5;Obesidad
Golden Retriever;10;11;6;7;Infección gastrointestinal
Pastor Alemán;5;6;4;1;Infección gastrointestinal
Gato Persa;2;3;10;6;Problemas renales
Boxer;6;7;1;4;Ansiedad por separación
Rottweiler;9;10;1;7;Infección gastrointestinal
Golden Retriever;9;10;8;10;Enfermedades del disco
Gato Persa;8;9;1;2;Normal
Gato Ragdoll;4;5;6;8;Obesidad
Dachshund;10;11;10;6;Torsión gástrica
Shih Tzu;3;4;6;8;Displasia de cadera
Labrador Retriever;7;8;9;3;Infección gastrointestinal
Gato Birmano;4;5;3;2;Normal
Boxer;7;8;5;3;Enfermedades cardíacas
Labrador Retriever;8;9;6;1;Enfermedades cardíacas
Gato Persa;3;4;5;1;Enfermedades respiratorias
Gato Birmano;9;10;2;4;Problemas dentales
Boxer;4;5;9;7;Problemas respiratorios
Rottweiler;6;7;8;3;Torsión gástrica
Bullmastiff;8;9;1;5;Ansiedad por separación
Golden Retriever;3;4;9;6;Problemas respiratorios
Golden Retriever;9;10;6;4;Enfermedades del disco
Gato Scottish Fold;9;10;5;9;Infecciones del tracto urinario
Pug;4;5;8;7;Problemas respiratorios
Gato Siamés;2;3;1;5;Infecciones del tracto urinario
Doberman Pinscher;1;2;4;6;Problemas oculares
Beagle;6;7;6;5;Enfermedades del disco
Rottweiler;7;8;7;9;Torsión gástrica
Dachshund;2;3;1;9;Torsión gástrica
Gato Maine Coon;2;3;5;4;Enfermedades respiratorias
Chihuahua;10;11;5;8;Infección gastrointestinal
Doberman Pinscher;2;3;10;2;Obesidad
Gato Persa;6;7;9;9;Infecciones del tracto urinario
Gato Birmano;7;8;10;8;Hipertiroidismo
Gato Bengalí;3;4;9;9;Infecciones del tracto urinario
Golden Retriever;7;8;10;9;Infección gastrointestinal
Gato Bosque de Noruega;5;6;3;5;Estrés crónico
Beagle;4;5;6;2;Infección gastrointestinal
Cocker Spaniel;4;5;9;7;Displasia de cadera
Shih Tzu;5;6;10;8;Displasia de cadera
Dogo Argentino;9;10;6;2;Problemas oculares
Gato Persa;6;7;8;5;Problemas dentales
Beagle;9;10;4;5;Enfermedades cardíacas
Pastor Alemán;1;2;7;9;Enfermedades cardíacas
Dogo Argentino;1;2;10;10;Enfermedades del disco
Chihuahua;7;8;1;9;Normal
Gato Siamés;6;7;5;3;Enfermedades respiratorias
Shih Tzu;3;4;9;8;Ansiedad por separación
Doberman Pinscher;8;9;8;4;Problemas oculares
Gato Ragdoll;8;9;3;1;Problemas renales
Gato Siamés;10;11;2;9;Infecciones del tracto urinario
Chihuahua;3;4;4;4;Problemas respiratorios
Pastor Alemán;5;6;2;9;Enfermedades del disco
Dachshund;9;10;9;2;Normal
Pastor Alemán;9;10;8;6;Enfermedades cardíacas
Shih Tzu;6;7;3;3;Infección gastrointestinal
Gato Sphynx;4;5;4;6;Enfermedades respiratorias
Bullmastiff;9;10;6;9;Torsión gástrica
Gato Bosque de Noruega;1;2;10;6;Problemas renales
Shih Tzu;6;7;8;6;Displasia de cadera
Cocker Spaniel;10;11;2;2;Enfermedades cardíacas
Gato Ragdoll;3;4;2;8;Infecciones del tracto urinario
Boxer;2;3;7;6;Problemas respiratorios
Doberman Pinscher;10;11;7;8;Enfermedades del disco
Gato Siamés;3;4;9;6;Problemas renales
Shih Tzu;1;2;6;3;Torsión gástrica
Gato Siamés;5;6;8;5;Normal
Shih Tzu;3;4;8;8;Displasia de cadera
Gato Sphynx;8;9;8;4;Problemas dentales
Rottweiler;5;6;1;7;Ansiedad por separación
Labrador Retriever;1;2;10;3;Infección gastrointestinal
Gato Bengalí;7;8;5;8;Hipertiroidismo
Dogo Argentino;8;9;9;4;Infección gastrointestinal
Doberman Pinscher;4;5;7;6;Infección gastrointestinal
Dachshund;5;6;4;3;Normal
Dogo Argentino;7;8;6;4;Problemas oculares
Bulldog;4;5;1;4;Enfermedades cardíacas
Gato Bengalí;6;7;7;6;Normal
Boxer;1;2;9;1;Obesidad
Bullmastiff;4;5;4;1;Ansiedad por separación
Golden Retriever;8;9;9;6;Ansiedad por separación
Chihuahua;1;2;8;4;Enfermedades del disco
Gato Bosque de Noruega;1;2;4;8;Enfermedades respiratorias
Gato Bosque de Noruega;4;5;8;2;Estrés crónico
Chihuahua;5;6;10;8;Obesidad
Labrador Retriever;9;10;8;4;Infección gastrointestinal
Cocker Spaniel;1;2;10;6;Problemas respiratorios
Boxer;1;2;1;8;Normal
Rottweiler;10;11;9;6;Problemas oculares
Bulldog;6;7;9;7;Infección gastrointestinal
Dogo Argentino;5;6;8;4;Torsión gástrica
Chihuahua;8;9;9;5;Torsión gástrica
Gato Siamés;8;9;1;7;Problemas renales
Labrador Retriever;4;5;7;5;Infección gastrointestinal
Gato Bosque de Noruega;2;3;8;8;Estrés crónico
Cocker Spaniel;3;4;7;4;Enfermedades cardíacas
Pug;4;5;7;4;Displasia de cadera
Gato Persa;7;8;5;6;Problemas dentales
Bulldog;3;4;5;1;Ansiedad por separación
Shih Tzu;10;11;5;5;Ansiedad por separación
Golden Retriever;10;11;6;1;Problemas oculares
Gato Birmano;7;8;3;8;Normal
Bullmastiff;5;6;5;1;Normal
Gato Scottish Fold;8;9;4;7;Hipertiroidismo
Boxer;9;10;4;6;Ansiedad por separación
Labrador Retriever;1;2;8;2;Enfermedades cardíacas
Cocker Spaniel;9;10;4;5;Normal
Doberman Pinscher;7;8;1;8;Infección gastrointestinal
Chihuahua;6;7;4;7;Normal
Doberman Pinscher;9;10;1;1;Infección gastrointestinal
Labrador Retriever;5;6;7;9;Obesidad
Shih Tzu;6;7;3;3;Enfermedades cardíacas
Bullmastiff;5;6;5;1;Obesidad
Gato Maine Coon;6;7;5;8;Enfermedades respiratorias
Gato Bengalí;2;3;10;5;Infecciones del tracto urinario
Chihuahua;6;7;5;8;Problemas oculares
Pastor Alemán;3;4;4;7;Obesidad
Gato Sphynx;7;8;1;8;Hipertiroidismo
Shih Tzu;4;5;9;1;Displasia de cadera
Doberman Pinscher;4;5;4;5;Ansiedad por separación
Bullmastiff;2;3;4;9;Problemas oculares
Shih Tzu;10;11;10;7;Infección gastrointestinal
Gato Sphynx;5;6;3;5;Estrés crónico
Cocker Spaniel;5;6;6;7;Displasia de cadera
Labrador Retriever;6;7;10;2;Infección gastrointestinal
Gato Maine Coon;1;2;5;7;Problemas renales
Gato Persa;10;11;7;2;Infecciones del tracto urinario
Cocker Spaniel;7;8;10;7;Problemas oculares
Gato Persa;10;11;3;3;Normal
Dachshund;10;11;9;5;Infección gastrointestinal
Gato Bengalí;9;10;2;1;Estrés crónico
Shih Tzu;3;4;4;5;Problemas respiratorios
Doberman Pinscher;5;6;10;2;Problemas oculares
Gato Siamés;5;6;4;4;Normal
Bullmastiff;6;7;7;5;Problemas oculares
Golden Retriever;8;9;8;6;Problemas oculares
Gato Birmano;9;10;4;1;Infecciones del tracto urinario
Dogo Argentino;2;3;10;5;Problemas respiratorios
Bulldog;3;4;6;10;Normal
Gato Sphynx;6;7;4;9;Problemas dentales
Cocker Spaniel;4;5;6;6;Normal
Gato Sphynx;10;11;1;6;Problemas renales
Beagle;10;11;4;9;Enfermedades cardíacas
Pug;5;6;5;3;Enfermedades del disco
Gato Ragdoll;8;9;6;4;Infecciones del tracto urinario
Pug;3;4;7;7;Obesidad
Gato Maine Coon;8;9;7;8;Hipertiroidismo
Cocker Spaniel;5;6;8;6;Normal
Labrador Retriever;3;4;9;7;Normal
Boxer;6;7;2;10;Enfermedades del disco
Rottweiler;4;5;2;3;Obesidad
Gato Bosque de Noruega;10;11;4;10;Hipertiroidismo
Gato Persa;7;8;3;7;Hipertiroidismo
Doberman Pinscher;5;6;6;1;Displasia de cadera
Beagle;1;2;1;5;Problemas respiratorios
Gato Bosque de Noruega;7;8;7;7;Hipertiroidismo
Gato Birmano;9;10;7;9;Hipertiroidismo
Rottweiler;4;5;8;8;Problemas respiratorios
Gato Maine Coon;9;10;7;7;Estrés crónico
Bulldog;5;6;1;1;Normal
Gato Azul Ruso;10;11;3;2;Enfermedades respiratorias
Gato Ragdoll;3;4;9;3;Problemas renales
Labrador Retriever;6;7;8;5;Displasia de cadera
Labrador Retriever;1;2;9;6;Problemas respiratorios
Golden Retriever;3;4;7;3;Enfermedades del disco
Dogo Argentino;2;3;1;5;Problemas respiratorios
Bulldog;5;6;6;1;Obesidad
Gato Maine Coon;10;11;6;4;Enfermedades respiratorias
Beagle;6;7;8;10;Enfermedades del disco
Gato Birmano;8;9;5;6;Problemas dentales
Gato Sphynx;5;6;5;8;Obesidad
Gato Maine Coon;9;10;4;10;Estrés crónico
Chihuahua;4;5;1;3;Ansiedad por separación
Shih Tzu;5;6;10;1;Displasia de cadera
Labrador Retriever;10;11;1;1;Normal
Rottweiler;10;11;1;5;Enfermedades del disco
Gato Birmano;3;4;9;1;Obesidad
Beagle;4;5;10;6;Displasia de cadera
Beagle;10;11;1;10;Ansiedad por separación
Labrador Retriever;7;8;10;5;Enfermedades cardíacas
Bulldog;2;3;3;1;Enfermedades cardíacas
Labrador Retriever;5;6;4;7;Normal
Gato Bengalí;8;9;6;10;Estrés crónico
Boxer;1;2;9;4;Torsión gástrica
Gato Maine Coon;10;11;1;5;Problemas renales
Rottweiler;6;7;7;5;Displasia de cadera
Cocker Spaniel;7;8;6;3;Enfermedades del disco
Gato Birmano;4;5;3;5;Enfermedades respiratorias
Cocker Spaniel;6;7;10;7;Normal
Golden Retriever;10;11;10;9;Ansiedad por separación
Dogo Argentino;2;3;8;3;Ansiedad por separación
Beagle;4;5;6;3;Displasia de cadera
Shih Tzu;4;5;3;8;Problemas respiratorios
Doberman Pinscher;1;2;9;2;Enfermedades cardíacas
Dogo Argentino;4;5;4;3;Infección gastrointestinal
Doberman Pinscher;5;6;4;4;Enfermedades cardíacas
Gato Scottish Fold;8;9;3;9;Estrés crónico
Gato Ragdoll;9;10;3;4;Problemas renales
Gato Azul Ruso;6;7;10;4;Problemas dentales
Golden Retriever;3;4;1;5;Normal
Gato Persa;8;9;4;1;Problemas renales
Gato Scottish Fold;7;8;2;7;Infecciones del tracto urinario
Shih Tzu;5;6;1;6;Ansiedad por separación
Doberman Pinscher;4;5;8;9;Enfermedades del disco
Bulldog;2;3;6;4;Problemas respiratorios
Dogo Argentino;3;4;8;4;Displasia de cadera
Golden Retriever;4;5;5;5;Normal
Pug;4;5;2;8;Problemas respiratorios
Gato Bosque de Noruega;6;7;7;1;Enfermedades respiratorias
Gato Bosque de Noruega;2;3;4;9;Obesidad
Pastor Alemán;4;5;6;7;Torsión gástrica
Cocker Spaniel;5;6;4;4;Normal
Gato Ragdoll;4;5;1;4;Normal
Gato Siamés;7;8;5;4;Problemas dentales
Gato Bosque de Noruega;10;11;8;4;Normal
Doberman Pinscher;2;3;1;10;Enfermedades cardíacas
Gato Maine Coon;9;10;1;9;Hipertiroidismo
Gato Scottish Fold;8;9;10;7;Hipertiroidismo
Cocker Spaniel;5;6;6;1;Infección gastrointestinal
Doberman Pinscher;3;4;4;7;Problemas respiratorios
Gato Persa;9;10;10;1;Problemas dentales
Pug;3;4;6;6;Displasia de cadera
Rottweiler;5;6;4;8;Problemas oculares
Gato Scottish Fold;4;5;1;4;Estrés crónico
Gato Scottish Fold;9;10;1;7;Hipertiroidismo
Dachshund;9;10;9;6;Enfermedades del disco
Cocker Spaniel;1;2;5;5;Problemas oculares
Rottweiler;5;6;8;5;Displasia de cadera
Chihuahua;6;7;7;5;Enfermedades cardíacas
Beagle;2;3;4;5;Obesidad
Gato Bosque de Noruega;3;4;8;9;Obesidad
Labrador Retriever;2;3;7;8;Normal
Doberman Pinscher;4;5;6;8;Problemas oculares
Rottweiler;4;5;4;4;Problemas respiratorios
Chihuahua;6;7;5;7;Ansiedad por separación
Gato Azul Ruso;9;10;7;8;Problemas renales
Dachshund;3;4;9;1;Problemas oculares
Gato Sphynx;10;11;5;10;Hipertiroidismo
Doberman Pinscher;5;6;2;2;Problemas oculares
Chihuahua;5;6;1;8;Obesidad
Dachshund;8;9;1;4;Infección gastrointestinal
Bulldog;5;6;8;5;Displasia de cadera
Beagle;2;3;3;6;Enfermedades del disco
Chihuahua;10;11;7;7;Problemas oculares
Gato Birmano;4;5;8;10;Infecciones del tracto urinario
Dachshund;9;10;2;1;Infección gastrointestinal
Doberman Pinscher;4;5;1;1;Obesidad
Dogo Argentino;3;4;5;10;Enfermedades cardíacas
Gato Sphynx;5;6;3;2;Normal
Chihuahua;1;2;2;4;Problemas respiratorios
Cocker Spaniel;3;4;5;4;Obesidad
Pug;2;3;1;2;Problemas oculares
Dogo Argentino;2;3;1;4;Obesidad
Golden Retriever;5;6;1;5;Torsión gástrica
Bullmastiff;4;5;3;7;Obesidad
Bullmastiff;8;9;8;1;Normal
Gato Scottish Fold;1;2;1;3;Problemas dentales
Chihuahua;9;10;10;8;Infección gastrointestinal
Dachshund;1;2;7;7;Obesidad
Gato Sphynx;5;6;10;4;Obesidad
Pastor Alemán;2;3;2;4;Obesidad
Chihuahua;10;11;5;8;Torsión gástrica
Gato Persa;1;2;4;7;Obesidad
Boxer;3;4;7;8;Problemas respiratorios
Dachshund;5;6;7;3;Displasia de cadera
Boxer;6;7;3;9;Problemas oculares
Dogo Argentino;4;5;5;3;Enfermedades del disco
Boxer;3;4;1;4;Problemas respiratorios
Gato Bosque de Noruega;10;11;3;9;Hipertiroidismo
Cocker Spaniel;4;5;9;4;Problemas respiratorios
Pug;3;4;8;9;Enfermedades cardíacas
Bulldog;4;5;2;6;Problemas respiratorios
Gato Azul Ruso;4;5;2;4;Problemas dentales
Gato Maine Coon;10;11;5;9;Hipertiroidismo
Labrador Retriever;7;8;7;9;Enfermedades del disco
Rottweiler;2;3;6;9;Infección gastrointestinal
Cocker Spaniel;5;6;10;10;Enfermedades cardíacas
Labrador Retriever;5;6;4;7;Normal
Dachshund;3;4;10;4;Problemas respiratorios
Bullmastiff;2;3;2;4;Enfermedades del disco
Gato Ragdoll;10;11;5;10;Hipertiroidismo
Bulldog;2;3;1;9;Torsión gástrica
Pug;8;9;6;1;Normal
Bulldog;5;6;1;1;Infección gastrointestinal
Boxer;3;4;8;1;Enfermedades del disco
Dogo Argentino;9;10;5;4;Enfermedades cardíacas
Shih Tzu;4;5;9;6;Enfermedades del disco
Boxer;10;11;6;8;Torsión gástrica
Gato Maine Coon;9;10;3;9;Infecciones del tracto urinario
Gato Maine Coon;7;8;8;1;Problemas dentales
Gato Siamés;3;4;3;6;Estrés crónico
Doberman Pinscher;9;10;7;10;Infección gastrointestinal
Gato Bengalí;3;4;4;3;Normal
Pastor Alemán;7;8;6;4;Normal
Dachshund;5;6;3;9;Ansiedad por separación
Gato Persa;6;7;3;4;Problemas renales
Boxer;3;4;10;6;Infección gastrointestinal
Bullmastiff;4;5;7;5;Problemas respiratorios
Dogo Argentino;2;3;4;1;Obesidad
Shih Tzu;2;3;1;8;Problemas respiratorios
Chihuahua;4;5;7;8;Displasia de cadera
Rottweiler;6;7;9;7;Displasia de cadera
Dogo Argentino;7;8;6;5;Problemas oculares
Beagle;8;9;2;7;Infección gastrointestinal
Dachshund;3;4;9;6;Enfermedades cardíacas
Shih Tzu;3;4;5;3;Enfermedades cardíacas
Beagle;6;7;7;4;Displasia de cadera
Rottweiler;10;11;6;2;Enfermedades del disco
Pastor Alemán;4;5;7;8;Ansiedad por separación
Bullmastiff;6;7;9;7;Displasia de cadera
Pug;7;8;4;7;Enfermedades del disco
Doberman Pinscher;3;4;10;6;Infección gastrointestinal
Labrador Retriever;5;6;9;10;Infección gastrointestinal
Pastor Alemán;9;10;7;5;Ansiedad por separación
Dachshund;7;8;7;2;Ansiedad por separación
Gato Ragdoll;2;3;1;1;Infecciones del tracto urinario
Bullmastiff;10;11;7;4;Enfermedades cardíacas
Rottweiler;6;7;1;10;Enfermedades cardíacas
Boxer;4;5;4;4;Torsión gástrica
Gato Maine Coon;9;10;1;1;Infecciones del tracto urinario
Beagle;1;2;9;3;Enfermedades del disco
Golden Retriever;4;5;7;3;Displasia de cadera
Bullmastiff;4;5;1;3;Ansiedad por separación
Dachshund;2;3;7;8;Torsión gástrica
Boxer;6;7;8;1;Problemas oculares
Gato Siamés;3;4;8;9;Estrés crónico
Cocker Spaniel;3;4;5;8;Problemas respiratorios
Gato Bengalí;2;3;5;7;Normal
Boxer;4;5;3;10;Normal
Gato Persa;3;4;3;3;Problemas dentales
Dogo Argentino;2;3;3;6;Enfermedades del disco
Pastor Alemán;1;2;7;5;Torsión gástrica
Boxer;10;11;7;6;Torsión gástrica
